Bairro;rpa
Aflitos;3
Afogados;5
Agua Fria;2
Alto Do Mandu;3
Alto Jose Bonifacio;3
Alto Jose Do Pinho;3
Alto Santa Terezinha;2
Apipucos;3
Areias;5
Arruda;2
Barro;5
Beberibe;2
Boa Viagem;6
Boa Vista;1
Bomba Do Hemeterio;2
Bongi;5
Brasilia Teimosa;6
Brejo Da Guabiraba;3
Brejo De Beberibe;3
Cabanga;1
Cacote;5
Cajueiro;2
Campina Do Barreto;2
Campo Grande;2
Casa Amarela;3
Casa Forte;3
Caxanga;4
Cidade Universitaria;4
Coelhos;1
Cohab;6
Coqueiral;5
Cordeiro;4
Corrego Do Jenipapo;3
Curado;5
Derby;3
Dois Irmaos;3
Dois Unidos;2
Encruzilhada;2
Engenho Do Meio;4
Espinheiro;3
Estancia;5
Fundao;2
Gracas;3
Guabiraba;3
Hipodromo;2
Ibura;6
Ilha Do Leite;1
Ilha Do Retiro;4
Ilha Joana Bezerra;1
Imbiribeira;6
Ipsep;6
Iputinga;4
Jaqueira;3
Jardim Sao Paulo;5
Jiquia;5
Jordao;6
Linha Do Tiro;2
Macaxeira;3
Madalena;4
Mangabeira;3
Mangueira;5
Monteiro;3
Morro Da Conceicao;3
Mustardinha;5
Nova Descoberta;3
Paissandu;1
Parnamirim;3
Passarinho;3
Pau Ferro;3
Peixinhos;2
Pina;6
Poco;3
Ponto De Parada;2
Porto Da Madeira;2
Prado;4
Recife;1
Rosarinho;2
San Martin;5
Sancho;5
Santana;3
Santo Amaro;1
Santo Antonio;1
Sao Jose;1
Sitio Dos Pintos;3
Soledade;1
Tamarineira;3
Tejipio;5
Torre;4
Torreao;2
Torroes;4
Toto;5
Varzea;4
Vasco Da Gama;3
Zumbi;4
